,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS,PLAYOFFS
0,Last 5 MIN | +/- 5 PTS,2016-17,45,27,18,0.6,142.0,121.6,104.4,17.2,0.624,1.89,18.0,0.263,0.784,0.544,0.129,0.565,0.621,94.84,0.632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,46,24,22,0.522,190.0,109.1,100.1,9.0,0.534,1.39,14.2,0.298,0.771,0.524,0.136,0.481,0.541,94.18,0.547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,55,32,23,0.582,209.0,121.2,104.8,16.4,0.458,1.69,13.6,0.283,0.741,0.52,0.104,0.521,0.598,98.53,0.622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,37,15,22,0.405,144.0,103.0,115.0,-12.1,0.414,1.53,12.0,0.293,0.732,0.493,0.102,0.467,0.493,98.43,0.392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,51,22,29,0.431,185.0,117.3,124.5,-7.2,0.571,2.1,16.5,0.252,0.723,0.489,0.104,0.53,0.585,100.12,0.47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,44,26,18,0.591,173.0,113.4,100.4,13.0,0.614,1.7,16.4,0.247,0.743,0.511,0.128,0.511,0.581,100.93,0.603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,49,32,17,0.653,186.0,123.2,108.4,14.9,0.517,1.67,14.3,0.287,0.731,0.521,0.112,0.519,0.616,101.92,0.608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,36,23,13,0.639,139.0,121.1,107.0,14.2,0.55,1.74,15.5,0.269,0.79,0.514,0.118,0.549,0.604,99.7,0.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,44,17,27,0.386,184.0,96.5,97.7,-1.2,0.526,1.28,12.5,0.242,0.712,0.487,0.125,0.412,0.486,100.39,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,42,23,19,0.548,159.0,112.0,102.9,9.2,0.447,1.89,11.9,0.309,0.739,0.503,0.083,0.431,0.523,96.56,0.55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,41,19,22,0.463,149.0,105.2,111.8,-6.6,0.429,1.15,12.7,0.122,0.712,0.412,0.131,0.517,0.574,95.5,0.46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,40,16,24,0.4,126.0,100.5,109.7,-9.2,0.575,1.47,13.3,0.273,0.848,0.515,0.12,0.407,0.489,106.07,0.443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,25,16,9,0.64,100.0,108.6,102.6,6.0,0.64,1.78,16.7,0.278,0.729,0.497,0.126,0.478,0.548,98.16,0.567,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,41,23,18,0.561,135.0,108.7,111.2,-2.5,0.518,1.1,12.6,0.243,0.722,0.514,0.144,0.488,0.57,102.22,0.485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,34,20,14,0.588,116.0,105.7,103.1,2.6,0.481,1.22,11.9,0.309,0.796,0.519,0.128,0.458,0.516,100.03,0.539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,43,14,29,0.326,128.0,109.0,125.1,-16.2,0.409,1.38,11.4,0.227,0.686,0.456,0.103,0.476,0.543,98.98,0.369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,44,21,23,0.477,164.0,98.1,108.9,-10.7,0.469,1.04,12.2,0.279,0.774,0.512,0.151,0.451,0.503,98.8,0.388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,39,21,18,0.538,149.0,90.3,104.9,-14.6,0.5,1.04,12.6,0.184,0.671,0.439,0.149,0.43,0.485,99.65,0.41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,45,15,30,0.333,171.0,97.3,111.6,-14.3,0.598,1.37,14.8,0.28,0.724,0.502,0.143,0.433,0.494,96.65,0.414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,41,13,28,0.317,139.0,103.8,121.2,-17.4,0.479,1.24,12.5,0.244,0.646,0.439,0.128,0.459,0.526,102.31,0.357,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,43,19,24,0.442,175.0,109.7,109.4,0.3,0.455,1.45,13.4,0.323,0.671,0.498,0.123,0.49,0.534,94.17,0.507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,39,18,21,0.462,150.0,103.9,113.8,-9.9,0.495,1.67,12.9,0.227,0.761,0.479,0.099,0.442,0.513,98.51,0.419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,38,22,16,0.579,164.0,104.4,109.4,-5.0,0.459,1.47,12.5,0.192,0.66,0.431,0.105,0.462,0.532,94.82,0.477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,44,21,23,0.477,169.0,99.8,114.5,-14.7,0.523,0.79,12.5,0.231,0.751,0.521,0.196,0.472,0.562,103.64,0.424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,50,17,33,0.34,179.0,107.2,123.4,-16.2,0.22,0.61,6.4,0.272,0.719,0.484,0.126,0.46,0.536,102.23,0.338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,47,23,24,0.489,232.0,108.7,104.4,4.2,0.402,0.96,11.0,0.27,0.775,0.534,0.144,0.478,0.558,102.16,0.541,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,49,24,25,0.49,209.0,101.6,110.1,-8.5,0.606,1.32,15.0,0.244,0.727,0.49,0.148,0.463,0.533,98.36,0.441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,43,29,14,0.674,162.0,115.9,94.4,21.5,0.555,1.61,14.5,0.277,0.732,0.5,0.119,0.498,0.575,98.87,0.677,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,42,26,16,0.619,154.0,116.7,96.8,19.9,0.299,1.14,9.2,0.327,0.772,0.551,0.102,0.503,0.557,105.31,0.614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,49,25,24,0.51,174.0,110.4,99.2,11.2,0.386,1.56,12.0,0.273,0.794,0.546,0.098,0.494,0.543,98.95,0.587,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,45,27,18,0.6,142.0,121.6,104.4,17.2,0.624,1.89,18.0,0.263,0.784,0.544,0.129,0.565,0.621,94.84,0.632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,46,24,22,0.522,190.0,109.1,100.1,9.0,0.534,1.39,14.2,0.298,0.771,0.524,0.136,0.481,0.541,94.18,0.547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,55,32,23,0.582,209.0,121.2,104.8,16.4,0.458,1.69,13.6,0.283,0.741,0.52,0.104,0.521,0.598,98.53,0.622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,37,15,22,0.405,144.0,103.0,115.0,-12.1,0.414,1.53,12.0,0.293,0.732,0.493,0.102,0.467,0.493,98.43,0.392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,51,22,29,0.431,185.0,117.3,124.5,-7.2,0.571,2.1,16.5,0.252,0.723,0.489,0.104,0.53,0.585,100.12,0.47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,44,26,18,0.591,173.0,113.4,100.4,13.0,0.614,1.7,16.4,0.247,0.743,0.511,0.128,0.511,0.581,100.93,0.603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,49,32,17,0.653,186.0,123.2,108.4,14.9,0.517,1.67,14.3,0.287,0.731,0.521,0.112,0.519,0.616,101.92,0.608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,36,23,13,0.639,139.0,121.1,107.0,14.2,0.55,1.74,15.5,0.269,0.79,0.514,0.118,0.549,0.604,99.7,0.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,44,17,27,0.386,184.0,96.5,97.7,-1.2,0.526,1.28,12.5,0.242,0.712,0.487,0.125,0.412,0.486,100.39,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,42,23,19,0.548,159.0,112.0,102.9,9.2,0.447,1.89,11.9,0.309,0.739,0.503,0.083,0.431,0.523,96.56,0.55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,41,19,22,0.463,149.0,105.2,111.8,-6.6,0.429,1.15,12.7,0.122,0.712,0.412,0.131,0.517,0.574,95.5,0.46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,40,16,24,0.4,126.0,100.5,109.7,-9.2,0.575,1.47,13.3,0.273,0.848,0.515,0.12,0.407,0.489,106.07,0.443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,25,16,9,0.64,100.0,108.6,102.6,6.0,0.64,1.78,16.7,0.278,0.729,0.497,0.126,0.478,0.548,98.16,0.567,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,41,23,18,0.561,135.0,108.7,111.2,-2.5,0.518,1.1,12.6,0.243,0.722,0.514,0.144,0.488,0.57,102.22,0.485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,34,20,14,0.588,116.0,105.7,103.1,2.6,0.481,1.22,11.9,0.309,0.796,0.519,0.128,0.458,0.516,100.03,0.539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,43,14,29,0.326,128.0,109.0,125.1,-16.2,0.409,1.38,11.4,0.227,0.686,0.456,0.103,0.476,0.543,98.98,0.369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,44,21,23,0.477,164.0,98.1,108.9,-10.7,0.469,1.04,12.2,0.279,0.774,0.512,0.151,0.451,0.503,98.8,0.388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,39,21,18,0.538,149.0,90.3,104.9,-14.6,0.5,1.04,12.6,0.184,0.671,0.439,0.149,0.43,0.485,99.65,0.41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,45,15,30,0.333,171.0,97.3,111.6,-14.3,0.598,1.37,14.8,0.28,0.724,0.502,0.143,0.433,0.494,96.65,0.414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,41,13,28,0.317,139.0,103.8,121.2,-17.4,0.479,1.24,12.5,0.244,0.646,0.439,0.128,0.459,0.526,102.31,0.357,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,43,19,24,0.442,175.0,109.7,109.4,0.3,0.455,1.45,13.4,0.323,0.671,0.498,0.123,0.49,0.534,94.17,0.507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,39,18,21,0.462,150.0,103.9,113.8,-9.9,0.495,1.67,12.9,0.227,0.761,0.479,0.099,0.442,0.513,98.51,0.419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,38,22,16,0.579,164.0,104.4,109.4,-5.0,0.459,1.47,12.5,0.192,0.66,0.431,0.105,0.462,0.532,94.82,0.477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,44,21,23,0.477,169.0,99.8,114.5,-14.7,0.523,0.79,12.5,0.231,0.751,0.521,0.196,0.472,0.562,103.64,0.424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,50,17,33,0.34,179.0,107.2,123.4,-16.2,0.22,0.61,6.4,0.272,0.719,0.484,0.126,0.46,0.536,102.23,0.338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,47,23,24,0.489,232.0,108.7,104.4,4.2,0.402,0.96,11.0,0.27,0.775,0.534,0.144,0.478,0.558,102.16,0.541,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,49,24,25,0.49,209.0,101.6,110.1,-8.5,0.606,1.32,15.0,0.244,0.727,0.49,0.148,0.463,0.533,98.36,0.441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,43,29,14,0.674,162.0,115.9,94.4,21.5,0.555,1.61,14.5,0.277,0.732,0.5,0.119,0.498,0.575,98.87,0.677,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,42,26,16,0.619,154.0,116.7,96.8,19.9,0.299,1.14,9.2,0.327,0.772,0.551,0.102,0.503,0.557,105.31,0.614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,49,25,24,0.51,174.0,110.4,99.2,11.2,0.386,1.56,12.0,0.273,0.794,0.546,0.098,0.494,0.543,98.95,0.587,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,45,27,18,0.6,142.0,121.6,104.4,17.2,0.624,1.89,18.0,0.263,0.784,0.544,0.129,0.565,0.621,94.84,0.632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,46,24,22,0.522,190.0,109.1,100.1,9.0,0.534,1.39,14.2,0.298,0.771,0.524,0.136,0.481,0.541,94.18,0.547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,55,32,23,0.582,209.0,121.2,104.8,16.4,0.458,1.69,13.6,0.283,0.741,0.52,0.104,0.521,0.598,98.53,0.622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,37,15,22,0.405,144.0,103.0,115.0,-12.1,0.414,1.53,12.0,0.293,0.732,0.493,0.102,0.467,0.493,98.43,0.392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,51,22,29,0.431,185.0,117.3,124.5,-7.2,0.571,2.1,16.5,0.252,0.723,0.489,0.104,0.53,0.585,100.12,0.47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,44,26,18,0.591,173.0,113.4,100.4,13.0,0.614,1.7,16.4,0.247,0.743,0.511,0.128,0.511,0.581,100.93,0.603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,49,32,17,0.653,186.0,123.2,108.4,14.9,0.517,1.67,14.3,0.287,0.731,0.521,0.112,0.519,0.616,101.92,0.608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,36,23,13,0.639,139.0,121.1,107.0,14.2,0.55,1.74,15.5,0.269,0.79,0.514,0.118,0.549,0.604,99.7,0.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,44,17,27,0.386,184.0,96.5,97.7,-1.2,0.526,1.28,12.5,0.242,0.712,0.487,0.125,0.412,0.486,100.39,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,42,23,19,0.548,159.0,112.0,102.9,9.2,0.447,1.89,11.9,0.309,0.739,0.503,0.083,0.431,0.523,96.56,0.55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,41,19,22,0.463,149.0,105.2,111.8,-6.6,0.429,1.15,12.7,0.122,0.712,0.412,0.131,0.517,0.574,95.5,0.46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,40,16,24,0.4,126.0,100.5,109.7,-9.2,0.575,1.47,13.3,0.273,0.848,0.515,0.12,0.407,0.489,106.07,0.443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,25,16,9,0.64,100.0,108.6,102.6,6.0,0.64,1.78,16.7,0.278,0.729,0.497,0.126,0.478,0.548,98.16,0.567,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,41,23,18,0.561,135.0,108.7,111.2,-2.5,0.518,1.1,12.6,0.243,0.722,0.514,0.144,0.488,0.57,102.22,0.485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,34,20,14,0.588,116.0,105.7,103.1,2.6,0.481,1.22,11.9,0.309,0.796,0.519,0.128,0.458,0.516,100.03,0.539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,43,14,29,0.326,128.0,109.0,125.1,-16.2,0.409,1.38,11.4,0.227,0.686,0.456,0.103,0.476,0.543,98.98,0.369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,44,21,23,0.477,164.0,98.1,108.9,-10.7,0.469,1.04,12.2,0.279,0.774,0.512,0.151,0.451,0.503,98.8,0.388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,39,21,18,0.538,149.0,90.3,104.9,-14.6,0.5,1.04,12.6,0.184,0.671,0.439,0.149,0.43,0.485,99.65,0.41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,45,15,30,0.333,171.0,97.3,111.6,-14.3,0.598,1.37,14.8,0.28,0.724,0.502,0.143,0.433,0.494,96.65,0.414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,41,13,28,0.317,139.0,103.8,121.2,-17.4,0.479,1.24,12.5,0.244,0.646,0.439,0.128,0.459,0.526,102.31,0.357,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,43,19,24,0.442,175.0,109.7,109.4,0.3,0.455,1.45,13.4,0.323,0.671,0.498,0.123,0.49,0.534,94.17,0.507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,39,18,21,0.462,150.0,103.9,113.8,-9.9,0.495,1.67,12.9,0.227,0.761,0.479,0.099,0.442,0.513,98.51,0.419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,38,22,16,0.579,164.0,104.4,109.4,-5.0,0.459,1.47,12.5,0.192,0.66,0.431,0.105,0.462,0.532,94.82,0.477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,44,21,23,0.477,169.0,99.8,114.5,-14.7,0.523,0.79,12.5,0.231,0.751,0.521,0.196,0.472,0.562,103.64,0.424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,50,17,33,0.34,179.0,107.2,123.4,-16.2,0.22,0.61,6.4,0.272,0.719,0.484,0.126,0.46,0.536,102.23,0.338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,47,23,24,0.489,232.0,108.7,104.4,4.2,0.402,0.96,11.0,0.27,0.775,0.534,0.144,0.478,0.558,102.16,0.541,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,49,24,25,0.49,209.0,101.6,110.1,-8.5,0.606,1.32,15.0,0.244,0.727,0.49,0.148,0.463,0.533,98.36,0.441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,43,29,14,0.674,162.0,115.9,94.4,21.5,0.555,1.61,14.5,0.277,0.732,0.5,0.119,0.498,0.575,98.87,0.677,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,42,26,16,0.619,154.0,116.7,96.8,19.9,0.299,1.14,9.2,0.327,0.772,0.551,0.102,0.503,0.557,105.31,0.614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,49,25,24,0.51,174.0,110.4,99.2,11.2,0.386,1.56,12.0,0.273,0.794,0.546,0.098,0.494,0.543,98.95,0.587,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,45,27,18,0.6,142.0,121.6,104.4,17.2,0.624,1.89,18.0,0.263,0.784,0.544,0.129,0.565,0.621,94.84,0.632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,46,24,22,0.522,190.0,109.1,100.1,9.0,0.534,1.39,14.2,0.298,0.771,0.524,0.136,0.481,0.541,94.18,0.547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,1
0,Last 5 MIN | +/- 5 PTS,2016-17,55,32,23,0.582,209.0,121.2,104.8,16.4,0.458,1.69,13.6,0.283,0.741,0.52,0.104,0.521,0.598,98.53,0.622,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,37,15,22,0.405,144.0,103.0,115.0,-12.1,0.414,1.53,12.0,0.293,0.732,0.493,0.102,0.467,0.493,98.43,0.392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
0,Last 5 MIN | +/- 5 PTS,2016-17,51,22,29,0.431,185.0,117.3,124.5,-7.2,0.571,2.1,16.5,0.252,0.723,0.489,0.104,0.53,0.585,100.12,0.47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,144,2016-17,0
